CONST;STAR;SAO#;RA2K_H;RA2K_M;RA2K_S;DEC2K_SIGN;DEC2K_D;DEC2K_M;DEC2K_S;VARTYPE;MagMax;MagMin;PERIOD_Days;DESCRIPTION
Hydra;R Hya;181695;13;29;42,8;-;23;16;53;M;3,5;10,9;388,87;Mira-type pulsating red giant (the red color is most visible at minimum).  The fourth variable star to be discovered, by the Italian astronomer Maraldo in 1704.  Its period has been shortening.
Leo;R Leo, Peltier's Variable Star;98769;9;47;33,5;+;11;25;44;M;4,4;11,3;309,95;The variable that started Leslie Peltier on his career in 1918.  Mira-type pulsating red giant.  At maximum one of the largest stars in the sky, with a diameter of Jupiter's orbit.  Because of its size and proximity (600 ly) the Hubble actually was able to image this star, and shows it to have an oval shape!
Lepus;R Lep, Hind's Crimson Star;150058;4;59;36,3;-;14;48;23;M;5,5;11,7;427,07;Discovered by John Hind of London in 1845.  Mira-type pulsating red giant.
Libra;Sigma Lib;183139;15;4;4,2;-;25;16;55;SRB;3,2;3,46;20;Irregular variable.
Lyra;T Lyr;;18;32;20,1;+;36;59;56;LB;7,84;9,6;;Red Carbon Star
Lyra;HK Lyr;;18;42;50;+;36;57;31;LB;7,8;9,6;;Red Carbon Star
Lyra;Beta Lyr;67451;18;50;4,8;+;33;21;46;EB;3,25;4,36;12,913834;"Quadruple-star system; the primary is an eclipsing binary of two giant suns almost touching each other (and consequently having ovoid shapes)."
Lyra;RR Lyr, Prototype Cluster Variable;48421;19;25;27,9;+;42;47;4;RRAB;7,06;8,12;0,56686776;"Prototype ""cluster variable"" star, because large numbers of them are found in many globular clusters, and their identical luminosities helps in determining the distance to these GCs.  Much of RR Lyrae's variability can be seen in one night."
Ophiuchus;V Oph;159916;16;26;43,7;-;12;25;36;M;7,3;11,6;297,21;Red Carbon Star
Ophiuchus;X Oph;123744;18;38;21,1;+;8;50;3;M;5,9;9,2;328,85;Mira-type pulsating red giant.
Orion;W Ori;112406;5;5;23,7;+;1;10;39;SRB;8,2;12,4;212;Red Carbon Star
Orion;U Ori;;5;55;49,2;+;20;10;31;M;4,8;13;368,3;Mira-type pulsating red giant.
Orion;BL Ori;95659;6;25;28,2;+;14;43;19;LB;7,9;9,7;;Red Carbon Star
Orion;FU Ori;;5;45;22,4;+;9;4;11;FU;9,6;16,5;;"Increased from mag 16 to mag 9 in 1937, and has remained there.  A yellow supergiant that at the time was assumed to be a nova but now is thought to be a star that exhibited early stages of development.  Nine other ""FUor"" variables have since been discovered."
Pegasus;AG Peg;107436;21;51;2;+;12;37;32;NC;6;9,4;;"Symbiotic Variable"" (Z-Andromeda type variable), a binary where the secondary - in this case a compact blue subdwarf - is pulling material from the outer envelope of the red giant primary."
Perseus;Rho Per;56138;3;5;10,6;+;38;50;25;SRB;3,3;4;50;
Perseus;Beta Per, Algol, Prototypical Eclipsing Binary;38592;3;8;10,1;+;40;57;20;EA/SD;2,12;3,39;2,8673043;"""The Demon Star"" [from Arabic - the Demon's Head - the head of Medusa being held up by Perseus].  It is an eclipsing binary, eclipsing for 10 hours about every 3 days.  The 5-hour magnitude drop can often be viewed during a night of observing.  The two stars are only 6 million miles apart, center-to-center."
Perseus;Y Per;;3;27;42,4;+;44;10;36;M;8,1;11,3;248,6;Red Carbon Star
Pisces;UU Psc;109087;0;14;58,8;+;8;49;15;ELL/DW:;6,01;6,05;0,841678;Algol-type eclipsing binary
Pisces;Z Psc;74593;1;16;5;+;25;46;10;SRB;8,8;10,1;144;Red Carbon Star
Pisces;TX Psc;;23;46;23,5;+;3;29;13;LB;4,79;5,2;;"Red Carbon Star; semi-regular variable."
Puppis;PV Pup;153363;7;45;28,7;-;14;41;9;EA/DM;6,88;7,32;1,660728;The secondary of this binary star is itself an eclipsing binary and thus gives the system a slight variablility (mag 6.9 to 7.3 with a period of 40 hours).
Sagitta;U Sge;104711;19;18;48,5;+;19;36;37;EA/SD;6,45;9,28;3,38061933;"Eclipsing binary; drops from mag 6.4 to 9, for 1 hr 40 min every 3 days 9 hours."
Sagitta;X Sge;;20;5;5,3;+;20;38;54;SR;7;9,7;196;Red semi-variable.
Sagitta;WZ Sge;;20;7;36,7;+;17;42;15;UGSU+E+ZZ;7;15,53;11900;"""Cataclysmic Variable"" (dwarf nova); normally at magnitude 15.5, but every ~30 years it flares up dramatically.  The last outburst was in 2001, when it reached magnitude 8.2.  Believed to be a binary with an orbital period of about 80 minutes!"
Sagitta;FG Sge;;20;11;56;+;20;20;7;*;9,45;13,6;;"A variable star (mag 13.7 to 9.1, then back to 15) within planetary nebula He 1-5; it has evolved into an orange supergiant within the last 100 years.  Stellar evolution events that occur within the span of a human lifetime are exceptionally rare."
Sagittarius;V1492 Sgr;162465;18;4;15,2;-;29;52;18;E;15,2;15,9;0,51;Irregular variable.
Sagittarius;RU Sgr;229959;19;58;42,9;-;41;50;58;M;6;13,8;240,49;
Sagittarius;RT Sgr;;20;17;43,9;-;39;6;45;M;6;14,1;306,46;Long-period Mira-type variable (pulsating cool red giant).
Scorpius;Delta Sco;184014;16;0;20;-;22;37;18;GCAS;1,86;2,32;;In July, 2000, Delta brightened and has since fluctuated to as high as mag 1.6
Sculptor;R Scl;193122;1;26;58,1;-;32;32;34;SRB;9,1;12,9;370;Red Carbon Star
Scutum;R Sct;142620;18;47;29,1;-;5;42;17;RVA;4,2;8,6;146,5;"A pulsating yellow supergiant of the class RV Tauri stars; discovered in 1797.  Varies between magnitude 5 and 6, but every 4th or 5th cycle it drops to magnitude 8."
Scutum;S Sct;142674;18;50;20;-;7;54;27;SRB;9,63;10,9;148;Red Carbon Star
Serpens;R Ser;101771;15;50;41,7;+;15;8;3;M;5,16;14,4;356,41;Mira-type pulsating red giant.
Taurus;T Tau;;4;21;59,2;+;19;32;7;INT;9,3;13,5;;Within NGC 1555 (Hind's Variable Nebula).  T Tauri's brightness and spectrum change erratically, thought to be caused by the conflict between the last stages of gravitational contraction and the first stages of hydrogen fusion in its core.
Taurus;RV Tau;;4;47;6,8;+;26;10;44;RVB;9,8;13,3;78,731;"A pulsating yellow supergiant; prototype of this class of variables."
Taurus;Y Tau;;5;45;39,4;+;20;41;42;SRB;6,5;9,2;241,5;Red Carbon Star
Triangulum;R Tri;55687;2;37;2,2;+;34;15;54;M;5,4;12,6;266,9;Long-period Mira-type variable (pulsating cool red giant).
Ursa Major;R UMa;15273;10;44;38,8;+;68;46;33;M;6,5;13,7;301,62;Long-period Mira-type variable (pulsating cool red giant).
Ursa Major;VY UMa;15274;10;45;3,9;+;67;24;41;LB;5,87;7;;Red Carbon Star
Virgo;SS Vir;;12;25;13,7;+;0;46;12;SRA;6;9,6;364,14;Red Carbon Star
