Target	Alternate ID	SAO	HIP	WDS	Con	RA 2000	Dec 2000	Mm	X	PSA	season	Parent	Pair	PA	SepSec	MagC	M1	M2	Notes	Type
HR 2910	N Pup, HD 60585	SAO 174020	HIP 36817	H N 19	Pup	07 34.3	-23 28	90.0	100.0	27.0	winter(2)	H N 19	AB	117	9.6	5.1	5.8	5.9	aka HR 2909. Cool! Car headlights. Nearly same brightness. Same light yellow colour.	Physical
2 Pup	HR 3010	SAO 153363	HIP 37843	STF1138	Pup	07 45.5	-14 41	90.0	45.0	26.0	winter(2)	STF1138	AB	341	16.8	5.5	6.0	6.7	To the N. Nearly equal colour. Yellow and blue. Nearly equal brightness. Not far from Messier 46.	Physical
				STF1138							winter(2)		AC	229	100.0		6.0	10.6	Dim and distant. To the SW. White.	Uncertain
Tegmen	Zeta 1 Cnc, 16 Cnc	SAO 97645	HIP 40167	STF1196	Cnc	08 12.2	+17 39	90.0	100.0	24.0	spring(1)	STF1196	AB	8	1.1	4.5	5.3	6.3	or Tegmine. At high power, not round, a figure-8. Almost in-line with C. Split at 391x in 2012.	binary
				STF1196							spring(1)		AC	51	6.3		5.3	5.9	Pleasing at 52x. Main pale yellow colour, companion hint of orange? To the NE.	Physical
				STF1196							spring(1)		AD	107	275.6		4.9	8.9	Faint, well away to the E.	Optical
				ENH 1							spring(1)		AE	26	562.2		4.9	10.1	NNE, further away than D.	Optical
				ENH 1							spring(1)		AF	46	638.1		4.9	10.3	The faintest of all. East of the E star. aka TYC 01381-0323 1.	Optical
				ENH 1							spring(1)		AG	332	672.3		4.9	10.2	G is to the NW, at a right angle to E star, about the same distance that E was from A.	Optical
HR 3395	HD 72945	SAO 116929	HIP 42172	STF1245	Cnc	08 35.8	+06 37	90.0	70.0	24.0	spring(1)	STF1245	AB	25	10.1	5.7	6.0	7.2	Yellow and white. In middle of a triangle. B was roughly north.	Physical
				STF1245							spring(1)		AC	109	100.4		6.0	10.7	C was to the east, was dimmer than E. C looked red. Opposite D.	Optical
				STF1245							spring(1)		AD	292	110.3		6.0	11.9	Dim. Opposite C.	Optical
				STF1245							spring(1)		AE	207	114.8		6.0	9.6	Brighter than C. Blue. To the south.	Optical
				ANT  4							spring(1)		AG	211	120.5		6.0	12.3	The dimmest of all. Furthest out.	Uncertain
HD 75646	TYC 1946-02159-1	SAO 80467	HIP 43535	STTA 96	Cnc	08 52.0	+25 43	90.0	45.0	24.0	spring(1)	STTA 96	AB	312	50.0	7.3	7.7	8.5	Sparse field. Colourful. Bright primary SE, secondary NW. Lovely. A great system. Yellow-blue.	Optical
				STTA 96							spring(1)		AC	267	35.6		7.7	10.7	C is red. Very dim. W of A. At apex of right-angle bend, so B due north of C and A due east.	Uncertain
HD 73668	TYC 0223-01420-1	SAO 117000	HIP 42488	STF1255	Hya	08 39.7	+05 46	90.0	45.0	24.0	spring(1)	STF1255	AB	30	26.0	7.0	7.3	8.6	Near ε and ζ. Faint pair. Easy split at 62x. Yellow and orange. NE.	Physical
				STF1255							spring(1)		BD	22	71.5		8.6	12.6	Additional companion needs a bigger aperture. Beyond B star.	optical
Tau 1 Hya	31 Hya, Ukdah I	SAO 136895	HIP 46509	HJ 1167	Hya	09 29.2	-02 46	90.0	25.0	37.0	spring(1)	HJ 1167	AB	4	67.5	4.5	4.6	7.3	Pleasing warm yellow main star and pale orange companion. Widely separated at 110x.	Physical
HR 3963	HD 87344, SHJ 110	SAO 155704	HIP 49321	BU 1072	Hya	10 04.0	-18 06	90.0	70.0	37.0	spring(1)	BU 1072	AB	53	12.7	5.8	6.2	12.1	"""HR 3963 fun starhop from Alphard."" Will need larger aperture for B star. East of the primary"	Optical
				SHJ 110							spring(1)		AC	273	21.2		6.2	7.0	Wide pair at 48x. Blue or blue-white and orange. Faint. Oriented to the W.	Optical
HR 4363	HD 97855	SAO 27970	HIP 55044	STF1520	UMa	11 16.1	+52 46	90.0	70.0	32.0	spring(1)	STF1520	AB	344	12.4	6.2	6.5	7.8	Slightly unequal intensities. Nice. Medium tight. Secondary orange and main yellow.	Physical
HD 100054	TYC 3831-00765-1	SAO 28043	HIP 56202	STF1544	UMa	11 31.3	+59 42	90.0	70.0	32.0	spring(1)	STF1544	AB	91	12.2	6.8	7.3	8.0	Wide pair. Easy in big 'scope. Yellow and pale blue. Very similar brightness, B very slightly dimmer.	Uncertain
83 Leo	HR 4414	SAO 118864	HIP 55846	STF1540	Leo	11 26.7	+03 01	90.0	45.0	34.0	spring(1)	STF1540	AB	150	28.4	6.2	6.6	7.5	Bright stars. B SE. Easy split, tighter than Tau AB. West of Tau Leo. Both yellow. Two in the view.	Binary
				STF1540							spring(1)		AC	191	205.2		6.6	11.1	Faint and well away, 10x. To the S.	Optical
Tau Leo	84 Leo	SAO 118875	HIP 55945	STFA 19	Leo	11 27.9	+02 51	100.0	25.0	34.0	spring(1)	STFA 19	AB	182	88.5	5.0	5.1	7.5	Neat system. A yellow-white, B blue, much dimmer. South. Wide. Beside 83 Leo. Two in the view.	Optical
				STFA 19							spring(1)		AD	92	761.2		5.1	9.5	D, far afield east, very wide. Brighter than B! About 90° from AB angle. White, maybe blue white.	Optical
