sequence	Target	AlternateID	WDS	Con	RA2000	Dec2000	Mag	MaxSepSec	Notes
78	HR 8281	HD 206267, STF 2816	STF2816	Cep	21 39.0	+57 29	[5.5, 5.7, 7.5]	20.6	3,󰥮9cm,70x,summer(2)<NEWLINE>AC (Physical), PA: 121, Sep: 11.8<SECS>, Mag: 5.7/7.5 Within open cluster IC 1396. In Elephant Trunk. Wow! White-yellow; companion SW yellow-orange.<NEWLINE>AD (Physical), PA: 339, Sep: 20.6<SECS>, Mag: 5.7/7.5 The companion to the north, D, the bright one, slightly further, is dull yellow.
79	HR 8357	HD 208095	STF2840	Cep	21 52.0	+55 48	[5.2, 5.6, 6.4]	18.1	2,󰥮9cm,45x,summer(2)<NEWLINE>AB (Optical), PA: 197, Sep: 18.1<SECS>, Mag: 5.6/6.4 SSW. Nearly equal brightness stars, whitish in colour. Near some close colourful stars.
80	Alkurhah	Xi Cep, 17 Cep, Kurhah	STF2863	Cep	22 03.8	+64 38	[4.3, 4.5, 6.4]	109.5	3,󰥮9cm,70x,summer(2)<NEWLINE>AB (Binary), PA: 274, Sep: 8.4<SECS>, Mag: 4.5/6.4 Tight. Main is light yellow. At low power partner looks blue. Pretty, near a loose gaggle of stars.<NEWLINE>AC (Optical), PA: 206, Sep: 109.5<SECS>, Mag: 4.5/12.6 Very faint start to the south-west, well away.
81	Delta Cep	27 Cep	STFA 58	Cep	22 29.2	+58 25	[4.0, 4.2, 6.1]	41.0	2,󰥮9cm,45x,summer(2)<NEWLINE>AC (Physical), PA: 191, Sep: 41.0<SECS>, Mag: 4.2/6.1 S. Very wide pair, wide even at 36x. Yellow and blue. Assess variable brightness while here.
82	Kappa Cep	1 Cep, Al Aghnam I	STF2675	Cep	20 08.9	+77 43	[4.4, 4.4, 8.3]	170.2	3,󰥮15cm,140x,summer(2)<NEWLINE>AB (Physical), PA: 120, Sep: 7.3<SECS>, Mag: 4.4/8.3 ESE. White and orange. Many magnitudes different. Very close together. A neat system!<NEWLINE>AC (Optical), PA: 334, Sep: 170.2<SECS>, Mag: 4.4/10.3 The C star is dimmer and to the north-west. Bluish.
83	Alpha 1 Cap	Al Giedi, Prima Giedi, 5	HJ  607	Cap	20 17.6	-12 31	[4.2, 4.2, 9.6]	46.9	2,󰥮10cm,25x,summer(2)<NEWLINE>AC (Optical), PA: 222, Sep: 46.9<SECS>, Mag: 4.2/9.6 C is south-west. Yellow-blue. Do not get distracted by binocular double with alpha 2.
84	Dabih	Beta Cap, 9 Cap	STFA 52	Cap	20 21.0	-14 47	[3.0, 3.2, 6.1]	226.1	3,󰥮3.5cm,7x,summer(2)<NEWLINE>AB (Physical), PA: 267, Sep: 205.4<SECS>, Mag: 3.2/6.1 Use binoculars! Very wide. Bright yellow and bright blue stars. To the W.<NEWLINE>AC (Physical), PA: 133, Sep: 226.1<SECS>, Mag: 3.2/8.8 Flanking. SE. Dark blue. They form an isosceles triangle.
85	Omicron Cap	12 Cap	SHJ 324	Cap	20 29.9	-18 35	[5.5, 5.9, 6.7]	21.9	2,󰥮9cm,45x,summer(2)<NEWLINE>AB (Physical), PA: 239, Sep: 21.9<SECS>, Mag: 5.9/6.7 Two equal pale blue white stars. WSW.
86	HD 196411	TYC 1100-01112-1	STF2703	Del	20 36.8	+14 44	[7.6, 8.4, 8.4]	84.7	4,󰥮10cm,40x,summer(2)<NEWLINE>AB (Uncertain), PA: 289, Sep: 25.0<SECS>, Mag: 8.4/8.4 NW. A and B are blue-ish. Equal brightness. Faint. Near multi-star system Rotanev.<NEWLINE>AC (Optical), PA: 234, Sep: 77.8<SECS>, Mag: 8.4/8.8 Blue-ish. C slightly fainter than A and B. South-west of B.<NEWLINE>AD (Uncertain), PA: 347, Sep: 84.7<SECS>, Mag: 8.4/12.8 Very faint. Flanking, to the north.
87	Gamma 2 Del	12 Del, Al Salib	STF2727	Del	20 46.7	+16 07	[3.9, 4.4, 5.0]	8.9	2,󰥮9cm,100x,summer(2)<NEWLINE>AB (binary), PA: 266, Sep: 8.9<SECS>, Mag: 4.4/5.0 Bright yellow gold pair of stars, fairly tight at 77x. West.
88	3 Peg	HR 8265	STFA 56	Peg	21 37.7	+06 37	[5.9, 6.2, 7.5]	38.8	2,󰥮9cm,45x,autumn(1)<NEWLINE>AB (Physical), PA: 348, Sep: 38.8<SECS>, Mag: 6.2/7.5 NNW. White and orange. Equal. Stunning. Near a faint double. Two in the view.
89	Epsilon Equ	1 Equ	STF2737	Equ	20 59.1	+04 18	[5.1, 5.3, 7.1]	10.6	2,󰥮9cm,70x,autumn(1)<NEWLINE>AC (Optical), PA: 67, Sep: 10.6<SECS>, Mag: 5.3/7.1 Easy in a large 'scope. C to the north-east. Bright yellow and light yellow. Hints of green?
