"CON","NAME           ","R.A.   ","DEC.  ","COMP","OTHER NAMES               ","Mag ","Mag2","SEP  ","PA ","NOTES                                                        ","U2K","TIR","BSA","SAO   "
"PEG","STF 3048       ","23 58.2","+24 21","AB  ","                          ","8.5 ","9.6 ","8.8  ","313","                                                             ","125","9  ","8  ","91615 "
"PEG","STF 3048       ","23 58.2","+24 21","AC  ","                          ","8.5 ","10.5","48.9 ","253","                                                             ","125","9  ","8  ","      "
"PER","STF  162       ","01 49.3","+47 54","AB  ","                          ","5.8 ","6.8 ","2    ","203","                                                             ","61 ","4  ","3  ","37536 "
"PER","STF  162       ","01 49.3","+47 54","AD  ","                          ","5.8 ","10.2","137.4","97 ","                                                             ","61 ","4  ","3  ","      "
"PER","STF  162       ","01 49.3","+47 54","BC  ","                          ","5.8 ","9.4 ","20.8 ","178","                                                             ","61 ","4  ","3  ","      "
"PER","STF  230       ","02 15.0","+58 29","    ","                          ","7.9 ","9.1 ","24.1 ","258","                                                             ","37 ","1  ","1  ","      "
"PER","STF  260       ","02 26.5","+54 17","    ","                          ","8.7 ","9.2 ","6.6  ","347","                                                             ","37 ","1  ","1  ","      "
"PER","STF  268       ","02 29.4","+55 32","    ","                          ","6.8 ","8.1 ","2.7  ","129","A2                                                           ","37 ","1  ","1  ","23369 "
"PER","STF  270       ","02 30.8","+55 33","AB  ","                          ","7.4 ","9.2 ","21.3 ","304","                                                             ","38 ","1  ","1  ","      "
"PER","STF  270       ","02 30.8","+55 33","AC  ","                          ","7.4 ","10.6","38.3 ","338","                                                             ","38 ","1  ","1  ","      "
"PER","STF  272       ","02 33.1","+58 28","    ","                          ","8.3 ","8.3 ","1.8  ","36 ","In cluster NGC  957                                          ","38 ","1  ","1  ","23419 "
"PER","h 1123         ","02 42.0","+42 47","    ","                          ","8   ","8   ","20   ","248","A0 A0; In cluster M 34                                       ","62 ","4  ","3  ","38243 "
"PER","STT  44        ","02 42.2","+42 42","    ","                          ","8.4 ","9.1 ","1.4  ","55 ","B9; In cluster M 34                                          ","62 ","4  ","3  ","38254 "
"PER","h 2155         ","02 42.7","+42 48","    ","                          ","8   ","10.4","17.1 ","321","B9; In cluster M 34                                          ","62 ","4  ","3  ","      "
"PER","Theta Per      ","02 44.2","+49 14","AB  ","                          ","4.1 ","9.9 ","18   ","305","F8; CoCo; Y/Or                                               ","62 ","4  ","3  ","38288 "
"PER","STF  297       ","02 45.4","+56 34","AB  ","                          ","8.5 ","8.8 ","15.8 ","277","A0                                                           ","38 ","1  ","1  ","      "
"PER","STF  297       ","02 45.4","+56 34","AC  ","                          ","    ","10.6","28.4 ","   ","                                                             ","38 ","1  ","1  ","      "
"PER","Burnham    9   ","02 47.1","+35 33","AB  ","                          ","6.4 ","8.5 ","1.7  ","188","F2                                                           ","93 ","4  ","3  ","55872 "
"PER","ARG   9        ","02 47.1","+50 07","    ","                          ","8.8 ","8.8 ","3.1  ","148","F6                                                           ","38 ","1  ","1  ","      "
"PER","STF  301       ","02 47.6","+53 57","    ","                          ","7.8 ","8.8 ","8.1  ","16 ","A0                                                           ","38 ","1  ","1  ","166603"
"PER","STF  304       ","02 48.8","+49 11","    ","                          ","7.6 ","9.1 ","25.2 ","289","B9                                                           ","63 ","4  ","3  ","      "
"PER","Eta Per        ","02 50.7","+55 54","AB  ","Miram                     ","3.8 ","8.5 ","28.3 ","300","CoCo; Y/B; nice                                              ","38 ","1  ","1  ","23655 "
"PER","Eta Per        ","02 50.7","+55 54","AC  ","Miram                     ","    ","9.8 ","66.6 ","268","K0                                                           ","38 ","1  ","1  ","23655 "
"PER","Eta Per        ","02 50.7","+55 54","CD  ","Miram                     ","    ","10.3","5.2  ","114","                                                             ","38 ","1  ","1  ","23655 "
"PER","STF  314       ","02 52.9","+53 00","ABXC","                          ","6.5 ","7.1 ","1.6  ","308","B9                                                           ","38 ","1  ","1  ","23674 "
"PER","20 Per         ","02 53.7","+38 20","AC  ","STF  318                  ","5.3 ","10  ","15   ","237","                                                             ","93 ","4  ","3  ","55975 "
"PER","20 Per         ","02 53.7","+38 20","AB  ","Burnham  524              ","5.6 ","6.7 ","     ","   ","                                                             ","93 ","4  ","3  ","      "
"PER","Tau Per        ","02 54.3","+52 46","AB  ","                          ","4   ","10.6","51.7 ","106","G0                                                           ","38 ","1  ","1  ","23685 "
"PER","Tau Per        ","02 54.3","+52 46","BC  ","                          ","    ","11.7","3.5  ","87 ","                                                             ","38 ","1  ","1  ","23685 "
"PER","STF  325       ","02 55.8","+34 28","    ","                          ","8.8 ","10.3","15.8 ","159","M0; Primary is carbon star                                   ","93 ","4  ","3  ","56010 "
"PER","STF  331       ","03 00.9","+52 21","    ","                          ","5.3 ","6.7 ","12.1 ","85 ","                                                             ","38 ","1  ","1  ","23763 "
"PER","STF  336       ","03 01.5","+32 25","    ","                          ","6.9 ","8.4 ","8.6  ","8  ","                                                             ","94 ","4  ","3  ","56095 "
"PER","STF  360       ","03 12.2","+37 13","    ","                          ","8.1 ","8.3 ","2.7  ","126","                                                             ","94 ","4  ","3  ","56241 "
"PER","STF  364       ","03 13.6","+39 09","    ","                          ","9   ","9   ","11.5 ","311","                                                             ","63 ","4  ","3  ","56264 "
"PER","HU 544         ","03 15.8","+50 57","    ","                          ","6.5 ","9   ","1.2  ","99 ","Group of CoCo stars;Carbon star SAO 23902 in field           ","38 ","1  ","1  ","23907 "
"PER","STF  369       ","03 17.2","+40 29","    ","                          ","6.7 ","8   ","3.5  ","28 ","CoCo; Y/B                                                    ","63 ","4  ","3  ","38700 "
"PER","STT  53        ","03 17.7","+38 38","    ","                          ","7.8 ","8.3 ","0.8  ","   ","                                                             ","94 ","4  ","3  ","56320 "
"PER","STF  388       ","03 28.7","+50 26","    ","                          ","8.1 ","9.1 ","2.8  ","210","F0                                                           ","38 ","1  ","1  ","24055 "
"PER","STF  391       ","03 29.2","+45 03","    ","                          ","7.9 ","8.6 ","3.9  ","95 ","                                                             ","63 ","4  ","3  ","38873 "
"PER","STF  392       ","03 30.3","+52 54","    ","                          ","7.4 ","9.6 ","25.8 ","347","K0                                                           ","39 ","1  ","1  ","      "
"PER","Sigma Per      ","03 31.5","+47 51","    ","STT  56                   ","6.8 ","10.3","28.7 ","352","STT 56 rej.                                                  ","63 ","4  ","4  ","2579  "
"PER","STF  413       ","03 35.4","+33 41","    ","                          ","8.6 ","8.6 ","2.5  ","128","                                                             ","94 ","4  ","3  ","56564 "
"PER","STF  425       ","03 40.1","+34 07","    ","                          ","7.6 ","7.6 ","1.8  ","76 ","F5                                                           ","95 ","4  ","3  ","56613 "
"PER","STT  59        ","03 40.7","+46 01","    ","                          ","8.1 ","8.4 ","2.7  ","354","                                                             ","64 ","4  ","3  ","39031 "
"PER","STF  426       ","03 40.8","+39 07","AB  ","                          ","7.9 ","9.5 ","19.8 ","341","                                                             ","64 ","4  ","3  ","      "
"PER","40 Per         ","03 42.4","+33 58","    ","STF 431                   ","5   ","9.5 ","20   ","238","B2                                                           ","95 ","4  ","3  ","56646 "
"PER","STF  434       ","03 44.0","+38 22","    ","                          ","7.8 ","8.6 ","31   ","85 ","K5                                                           ","95 ","4  ","3  ","56668 "
"PER","STF  443       ","03 47.0","+41 26","    ","                          ","8.1 ","8.7 ","7.3  ","54 ","                                                             ","64 ","4  ","3  ","      "
"PER","Zeta Per       ","03 54.1","+31 53","AB  ","STF  464                  ","2.9 ","9.5 ","12.9 ","208","B1                                                           ","95 ","4  ","3  ","56799 "
"PER","43 Per         ","03 56.6","+50 41","AB  ","South  440                ","5.5 ","10.3","75.3 ","30 ","                                                             ","39 ","1  ","1  ","      "
"PER","43 Per         ","03 56.6","+50 41","AC  ","South  440                ","5.5 ","11.4","101  ","133","                                                             ","39 ","1  ","1  ","      "
"PER","STF 469        ","03 57.3","+41 52","    ","                          ","6.8 ","10.3","9    ","148","A2                                                           ","64 ","4  ","4  ","2884  "
"PER","Epsilon Per    ","03 57.9","+40 01","    ","                          ","2.9 ","8.1 ","8.8  ","10 ","CoCo; B-W/Gn; Magnitude contrast                             ","64 ","4  ","3  ","56840 "
"PER","STF  476       ","04 01.6","+38 40","    ","                          ","7.9 ","9.1 ","21.9 ","287","                                                             ","95 ","5  ","4  ","      "
"PER","STT  71        ","04 06.9","+33 27","AB  ","                          ","6.9 ","8.9 ","0.8  ","220","B3                                                           ","95 ","5  ","4  ","56973 "
"PER","STT 531        ","04 07.6","+38 04","    ","                          ","7.4 ","8.9 ","1.8  ","2  ","                                                             ","95 ","5  ","4  ","56982 "
