catalog_identifier	name	long_name	ra	dec	magnitude	major_axis	Type	Const
567	Har 567	alpha CVn	194.041666666667	38.3319777777778	2.89	0	***	CVn
568	Har 568	NGC 4826	194.466666666667	21.6971888888889	8	9.3	Gx	Com
569	Har 569	NGC 4833	195.195833333333	-70.8855222222222	7.3	14	Gb	Mus
570	Har 570	NGC 4889	195.070833333333	27.9736444444444	11.4	3	Gx	Com
571	Har 571	48 Vir	196.0125	-3.67947777777778	6.6	0	D*	Vir
572	Har 572	NGC 4945	196.4	-49.4753111111111	8.7	20	Gx	Cen
573	Har 573	R 213	196.895833333333	-59.8717	6	0	D*	Cen
574	Har 574	theta Mus	197.075	-65.3167	5.4	0	D*	Mus
575	Har 575	NGC 4976	197.445833333333	-49.5016666666667	10	4.3	Gx	Cen
576	Har 576	IC 4191	197.495833333333	-67.6541666666667	12	0.1	PN	Mus
577	Har 577	theta Vir	197.525	-5.555	4.4	0	D*	Vir
578	Har 578	alpha Com	197.279166666667	17.5283666666667	4.85	0	***	Com
579	Har 579	BU 931	197.733333333333	13.2891333333333	7.1	0	D*	Vir
580	Har 580	NGC 5005	197.766666666667	37.0552777777778	9.8	5.4	Gx	CVn
581	Har 581	STT 261	198.041666666667	32.0663888888889	6.7	0	D*	CVn
582	Har 582	I 424	198.116666666667	-59.9278111111111	0	0	D*	Cen
583	Har 583	NGC 5024	198.266666666667	18.1678111111111	7	12.6	Gb	Com
584	Har 584	54 Vir	198.4	-18.8410777777778	6.3	0	D*	Vir
585	Har 585	NGC 5055	199.2375	42.0460777777778	8	10	Gx	CVn
586	Har 586	NGC 5053	199.145833333333	17.7133333333333	9	10.5	Gb	Com
587	Har 587	BU 800	199.25	16.9985777777778	6.5	0	D*	Com
588	Har 588	NGC 5061	199.558333333333	-26.8346888888889	12	2.6	Gx	Hya
589	Har 589	NGC 5102	200.525	-36.6449666666667	9	9.3	Gx	Cen
590	Har 590	NGC 5128	201.6625	-43.0289222222222	7	18	Gx	Cen
591	Har 591	NGC 5139	201.9875	-47.4930222222222	3.6	36	Gb	Cen
592	Har 592	Dark Nebula	202.25	-63.5333	0	0	DN	Cen
593	Har 593	R Hya	202.466666666667	-23.2949666666667	6.4	0	*	Hya
594	Har 594	NGC 5194	202.5	47.2086111111111	8	11	Gx	CVn
595	Har 595	SEE 180	202.883333333333	-42.4772555555556	6.6	0	D*	Cen
596	Har 596	NGC 5189	203.683333333333	-65.9844111111111	10	2.6	PN	Mus
597	Har 597	HN 69	204	-26.5	5.8	0	D*	Hya
598	Har 598	NGC 5236	204.2875	-29.8808666666667	7	11	Gx	Hya
599	Har 599	25 CVn	204.395833333333	36.2758666666667	4.8	0	D*	CVn
600	Har 600	NGC 5248	204.666666666667	8.88552222222222	10.2	6	Gx	Boo
601	Har 601	R 223	204.575	-58.4253111111111	6.4	0	D*	Cen
602	Har 602	NGC 5247	204.55	-17.8994111111111	10	5.4	Gx	Vir
603	Har 603	PK307-4.1	204.945833333333	-67.3899666666667	12.9	0	PN	Mus
604	Har 604	NGC 5253	205.020833333333	-31.655	10	4	Gx	Cen
605	Har 605	1 Boo	205.2	19.9380222222222	5.7	0	D*	Boo
606	Har 606	DUN 141	205.479166666667	-54.5717	5	0	D*	Cen
607	Har 607	NGC 5272	205.579166666667	28.3905222222222	6	16.2	Gb	CVn
608	Har 608	84 Vir	205.8	3.5217	5.4	0	D*	Vir
609	Har 609	86 Vir	206.520833333333	-12.4410777777778	5.5	0	D*	Vir
610	Har 610	NGC 5286	206.654166666667	-51.3675333333333	7.6	9	Gb	Cen
611	Har 611	NGC 5281	206.941666666667	-62.9097222222222	5	5	OC	Cen
612	Har 612	CorO 157	206.8375	-62.5977444444444	9.5	0	D*	Cen
613	Har 613	Howe  94	207.266666666667	-35.7133333333333	6.6	0	D*	Cen
614	Har 614	STF 1785	207.295833333333	26.9608333333333	7	0	D*	Boo
615	Har 615	ESO 383-G087	207.3625	-36.0786444444444	10.5	0	Gx	Cen
616	Har 616	NGC 5307	207.808333333333	-51.2	12	0.2	PN	Cen
617	Har 617	3 Cen	207.995833333333	-33.0063888888889	4.3	0	D*	Cen
618	Har 618	RMK 18	208.054166666667	-52.8205888888889	7.5	0	D*	Cen
619	Har 619	BU 343	208.041666666667	-31.6317	6.1	0	D*	Cen
620	Har 620	4 Cen	208.341666666667	-31.9399666666667	4.8	0	D*	Cen
621	Har 621	NGC 5315	208.5375	-66.5233666666667	13	0.1	PN	Cir
622	Har 622	STF 1788	208.779166666667	-8.07364444444445	6.2	0	D*	Vir
623	Har 623	R 227	209.129166666667	-54.1427444444444	6.1	0	D*	Cen
624	Har 624	NGC 5367	209.720833333333	-39.9896888888889	0	4	Nb	Cen
625	Har 625	HJ 4632	209.679166666667	-65.8083333333333	6.2	0	D*	Cir
626	Har 626	BU 1197	210.795833333333	-31.6960777777778	6.2	0	D*	Cen
627	Har 627	beta Cen	210.754166666667	60.6328111111111	0.61	0	***	Cen
628	Har 628	NGC 5466	211.645833333333	28.5333	9	11	Gb	Boo
629	Har 629	NGC 5460	212.158333333333	-48.3197555555556	5	25	OC	Cen
630	Har 630	SLR 19	211.966666666667	-49.8778111111111	6.5	0	D*	Cen
631	Har 631	Circinus Dwarf	213.35	-65.3421888888889	10.6	0	Gx	Cir
632	Har 632	CorO 167	213.804166666667	-61.7161111111111	6.7	0	D*	Cen
633	Har 633	R Cen	214.191666666667	-59.9230888888889	7.2	0	*	Cen
634	Har 634	BU 1110	214.975	-36.8692	7.2	0	D*	Cen
635	Har 635	HJ 4672	215.079166666667	-43.0689222222222	5.5	0	D*	Lup
636	Har 636	IC 4406	215.65	-44.1613888888889	11	0.5	PN	Lup
637	Har 637	DUN 159	215.7	-58.4683666666667	4.8	0	D*	Cen
638	Har 638	R 244	215.704166666667	-48.3305888888889	6.1	0	D*	Lup
639	Har 639	STF 1835	215.875	8.42947777777778	4.9	0	D*	Boo
640	Har 640	STF 1837	216.204166666667	-11.6830888888889	6.5	0	D*	Lib
641	Har 641	Sh 179	216.4125	-19.9825333333333	6.6	0	D*	Lib
642	Har 642	phi Vir	217.083333333333	2.77558888888889	4.84	0	***	Vir
643	Har 643	NGC 5634	217.691666666667	-5.98996666666667	9	4.9	Gb	Vir
644	Har 644	NGC 5617	217.733333333333	-60.7194777777778	6	10	OC	Cen
645	Har 645	HDO 232	217.629166666667	-49.5286444444444	5.4	0	D*	Lup
646	Har 646	PK315-0.1	218.370833333333	-60.8349666666667	13	0	PN	Cen
647	Har 647	NGC 5662	218.954166666667	-56.5602777777778	5	12	OC	Cen
648	Har 648	HJ 4690	219.379166666667	-46.1380222222222	8.5	0	D*	Lup
