002.2-06.3 |18 13 06.1 -30 08 40.   73..9034|H 1-63       |  2-06 2 |18131-3008 |HARO 1952                       |ESO 457-03,He 2- 380,Sa 2-321,VV' 381,Wray 15-1853
002.2-09.4 |18 25 57.2 -31 32 00.   67.30013|Cn 1-5       |  2-09 1 |18259-3132 |CANNON 1921                     |Em 1,ESO 457-12,He 2- 402,Sa 2-337,StWr 2-17,Wray 16- 412
002.3+02.2 |17 39 24.2 -25 44 05.5  89.30002|Te    5      |         |           |TERZAN 1980                     |
002.3-03.4 |18 01 18.  -28 37 54. d 77..1552|H 2-37       |  2-03 2 |           |HARO 1952                       |ARO 268,ESO 456-46,Sa 2-291,VV' 333
002.3-07.8 |18 19 21.2 -30 45 01.   76..9055|M 2-41       |  2-07 1 |18194-3045 |MINKOWSKI 1947                  |ESO 457-10,He 2- 392,Sa 2-330,StWr 2-13,VV 176,VV' 397,Wray 16- 408
002.4+05.8 |17 26 17.9 -23 43 12.   73..9034|NGC 6369     |  2+05 1 |17262-2343 |HERSCHEL 1784                   |ARO 51,ESO 520- 03,He 2-232,My 101,Sa 2-207,VV 101,VV' 199,Wray 16- 277
002.4-03.2 |18 00 54.6 -28 28 06.   66.30012|Wray 17-107  |         |           |WRAY 1966                       |Sa 3-115
002.4-03.7 |18 02 55.6 -28 40 54.   76..9055|M 1-38       |  2-03 5 |18029-2840 |MINKOWSKI 1946                  |ESO 456-52,He 2- 344,SaSt 2-18,VV 148,VV' 340,Wray 16- 368
002.5-01.7 |17 55 22.5 -27 36 52.   67.30013|Pe 2-11      |  2-01 1 |           |PEREK 1960                      |ESO 456-30,Sa 3-106,VV' 305
002.5-05.4 |18 09 49.1 -29 26 02.   88..2065|KFL 14       |         |           |KINMAN et al 1988               |
002.6+02.1 |17 40 33.8 -25 35 26.8  89.30002|Te 1580      |         |           |TERZAN 1989                     |
002.6+04.2 |17 32 54.6 -24 24 30.   76..9055|Th 3-27      |  2+04 1 |17329-2423 |THE 1964                        |ARO 254,ESO 520-10,Sa 2-219
002.6+08.1 |17 18 18.  -22 16     a 80..1575|H 1-11       |  2+08 1 |17182-2215 |HARO 1952                       |ESO 587-07,He 2- 214,Sa 2-189,VV' 180
002.6-03.4 |18 02 16.0 -28 22 20.9  83..1405|M 1-37       |  2-03 3 |18022-2822 |MINKOWSKI 1946                  |ESO 456-50,He 2- 339,VV 146,VV' 338,Wray 16- 367
002.7-04.8 |18 07 54.0 -28 59 42.   73..9034|M 1-42       |  2-04 2 |18079-2859 |MINKOWSKI 1946                  |ESO 456-67,He 2- 359,Sa 2-305,StWr 2- 8,VV 153,VV' 357,Wray 16- 380
002.7-52.4 |21 56 30.  -39 37     a 67.30013|IC 5148-50   |  2-52 1 |21565-3937 |HOFFMEISTER 1961                |ESO 344-05
002.8+01.7 |17 42 35.6 -25 36 42.   76..9055|H 2-20       |  2+01 1 |           |HARO 1952                       |ESO 520-23,VV' 241,Wray 17- 97
002.8+01.8 |17 42 22.6 -25 37 03.1  89.30002|Te 1567      |         |           |TERZAN 1989                     |
002.8-02.2 |17 58 01.  -27 38 24. d 77..1552|Pe 2-12      |  2-02 3 |17580-2738 |PEREK 1960                      |ESO 456-36,Sa 3-110,VV' 314,Wray 17- 105
002.9+06.5 |17 24 51.9 -22 54 53.   88.30862|PM 1-149     |         |           |PREITE-MARTINEZ 1988            |PBOZ 6
002.9-03.9 |18 04 54.  -28 24     a 75..9016|H 2-39       |  2-03 6 |           |HARO 1952                       |ESO 456-58,Sa 2-301,VV' 350
003.0-02.6 |17 59 42.7 -27 41 08.   88..2065|KFL 4        |         |           |KINMAN et al 1988               |
003.1+02.9 |17 38 48.40-24 40 42.1  90..1502|Hb  4        |  3+02 1 |17388-2440 |HUBBLE 1921                     |ARO  94,ESO 520-17,He 2- 266,Sa 2- 228,VV 110,VV' 232,Wray 16- 296
003.1+03.4 |17 37 03.0 -24 24 11.   76..9055|H 2-17       |  3+03 1 |17370-2424 |HARO 1952                       |ARO 257,ESO 520-14,He 2- 263,VV' 228,Wray 17-  93
003.2-04.4 |18 07 21.0 -28 20 01.   88..2065|KFL 12       |         |           |KINMAN et al 1988               |
003.2-06.2 |18 14 31.  -29 09 30. d 80..1575|M 2-36       |  3-06 1 |18144-2909 |MINKOWSKI 1947                  |Em 5,ESO 457-05,He 2- 385,Sa 2- 325,StWr 2- 10,VV 169,VV' 385,Wray 16- 404
003.3-04.6 |18 08 25.3 -28 23 21.   76..9055|Ap 1-12      |  3-04 7 |18084-2823 |APRIAMASVILI 1961               |AS 283,ESO 456-69,He 2- 360,MHa 304-120,,Wray 16- 381
003.3-07.5 |18 19 57.2 -29 44 59.   88..2065|KFL 19       |         |           |KINMAN et al 1988               |
003.4-04.8 |18 09 38.2 -28 20 50.   83..1405|H 2-43       |  3-04 9 |18095-2820 |HARO 1952                       |AS 288,ESO 456-75,He 2- 366,MHa 304-119,VV' 367,Wray 16- 388
003.5-02.4 |18 00 10.0 -27 06 24.   73..9034|IC 4673      |  3-02 3 |18001-2706 |BARNARD 1896                    |ESO 521-15,He 2- 333,M 1-36,Sa 2- 286,VV 142,VV' 330,Wray 16- 357
003.5-04.6 |18 08 43.3 -28 11 23.   73..9034|NGC 6565     |  3-04 5 |18087-2811 |PICKERING 1880                  |ARO 68,BD -28 14266,ESO 456-70,GCRV 10632,He 2- 362,HD 166468,Sa 2-307,StWr 2- 9,VV 155,VV' 360,Wray 16-382
003.6+03.1 |17 38 54.  -24 10     a 77..1552|M 2-14       |  3+03 2 |17389-2409 |MINKOWSKI 1947                  |ESO 520-18,He 2- 267,Sa 2-229,VV 109,VV' 231,Wray 16- 297
003.6-02.3 |18 00 04.2 -26 58 38.   67.30013|M 2-26       |  3-02 2 |18001-2659 |MINKOWSKI 1947                  |ESO 521-14,He 2- 332,Sa 3-113,VV 139,VV' 322,Wray 17- 106?
003.7+07.9 |17 21 46.2 -21 31 04.   67.30013|H 2- 8       |  3+07 1 |           |HARO 1952                       |ESO 588-02,VV' 187
003.7-04.6 |18 09 24.9 -27 59 01.   76..9055|M 2-30       |  3-04 8 |18094-2758 |MINKOWSKI 1947                  |ESO 456-74,He 2- 365,VV 157,VV' 366,Sa 2-312,StWr 2- 7,Wray 16- 386
003.8+05.3 |17 31 25.0 -22 51 22.   76..9055|H 2-15       |  3+05 1 |17314-2251 |HARO 1952                       |ESO 520-08,He 2- 249,VV' 217
003.8-04.3 |18 08 20.3 -27 46 59.   76..9055|H 1-59       |  3-04 3 |           |HARO 1952                       |ESO 456-68,Sa 2-306,StWr 2- 6,VV' 356
003.8-04.5 |18 09 14.7 -27 53 01.   67.30013|H 2-41       |  3-04 4 |18092-2752 |HARO 1952                       |ESO 456-71,Sa 2-309,VV' 363
003.8-17.1 |19 02 20.5 -33 16 15.   76..9055|Hb  8        |  3-17 1 |19022-3316 |HUBBLE 1921                     |ESO 397-02,He 2- 426,Sa 2-381,StWr 2-24,VV 218,VV' 475,Y-C 2- 33
003.9+01.6 |17 45 23.9 -24 40 31.8  89.30002|Te 2111      |         |           |TERZAN 1989                     |
003.9-02.3 |18 00 31.9 -26 43 34.   76..9055|M 1-35       |  3-02 1 |18005-2643 |MINKOWSKI 1946                  |ESO 521-17,He 2- 336,Sa 2-287,VV 141,VV' 328,Wray 15- 1830
003.9-03.1 |18 03 42.0 -27 06 41.   88..2065|KFL  7       |         |           |KINMAN et al 1988               |
003.9-14.9 |18 52 23.8 -32 19 49.   76..9055|Hb  7        |  3-14 1 |18523-3219 |HUBBLE 1921                     |ARO 523,Cn 1-6,AS 330,ESO 458-09,He 2- 425,Sa 2-375,StWr 2-20,VV 212,VV' 463,Wray 16-422,Y-C 2- 31
004.0-03.0 |18 03 34.7 -26 55 43.   76..9055|M 2-29       |  4-03 1 |18035-2655 |MINKOWSKI 1947                  |ESO 521-27,He 2- 345,Sa 2-296,VV 149,VV' 343,Wray 17- 109
004.0-05.8 |18 14 32.4 -28 18 29.   76..9055|Pe 1-12      |  4-05 3 |           |PEREK 1960                      |ESO 457-06,VV' 386
004.0-11.1 |18 36 12.9 -30 43 21.   76..9055|M 3-29       |  4-11 1 |18362-3043 |MINKOWSKI 1948                  |Em 2,ESO 458-01,He 2- 416,Sa 2-355,StWr 2-14,VV' 434,Wray 16- 416
004.1-03.8 |18 07 04.1 -27 17 14.   88..2065|KFL 11       |         |           |KINMAN et al 1988               |
004.2-03.2 |18 04 53.8 -26 54 29.   88..2065|KFL 10       |         |           |KINMAN et al 1988               |
004.2-04.3 |18 09 16.2 -27 29 42.   76..9055|H 1-60       |  4-04 1 |           |HARO 1952                       |ESO 522-03,Sa 2-310,VV' 362
004.2-05.9 |18 15 29.3 -28 09 20.   76..9055|M 2-37       |  4-05 5 |18154-2809 |MINKOWSKI 1947                  |ESO 457-08,He 2- 387,Sa 3-131,VV 170,VV' 390,Wray 15- 1858
004.3+01.8 |17 45 32.5 -24 15 39.   76..9055|H 2-24       |  4+01 1 |           |HARO 1952                       |ESO 520-29,Sa 3- 77,VV' 254
004.3-02.6 |18 02 50.0 -26 30 01.   76..9055|H 1-53       |  4-02 1 |           |HARO 1952                       |ARO 269,ESO 521-24,He 2- 342,VV' 341
