id	main_id	ra	dec	otype
"PK 244-06  1"	"WRAY 16-3"	111.99499999999999	-30.701666666666664	"PN?"
"PK 245-08  1"	"WRAY 17-3"	109.78083333333335	-32.58638888888889	"PN?"
"PK 248-08  1"	"PN M  4-2"	112.22427040922	-35.75389890255	"PN"
"PK 247-08  1"	"WRAY 17-4"	111.56666666666668	-34.95055555555556	"PN?"
"PK 215+11  1"	"PN K  1-11"	114.03299165266002	2.7076511075900007	"PN"
"PK 226+05  1"	"PN M  1-16"	114.32875804166667	-9.646654999999999	"PN"
"PK 228+05  1"	"PN M  1-17"	115.09238514980001	-11.54160656699	"PN"
"PK 234-00  1"	"SS73   6"	112.95354583333334	-19.45931111111111	"Be*"
"PK 235+01  1"	"HD  62001"	115.30792878688999	-18.99372565914	"*"
"PK 238-01  1"	"PN KW    8"	113.35414583333333	-23.435769444444446	"PN"
"PK 242-03  1"	"ESO 429-4"	113.87333333333333	-28.152777777777775	"G"
"PK 244-04  1"	"WRAY 17-7"	114.34333333333333	-30.12666666666667	"PN?"
"PK 231+04  1"	"PN M  1-18"	115.51736250000002	-14.353686111111111	"PN"
"PK 232+05  1"	"PN SaSt  2-3"	117.01530553448	-14.127895860300002	"PN"
"PK 231+04  2"	"NGC  2438"	115.46049760579002	-14.73540837354	"PN"
"PK 234+02  1"	"NGC  2440"	115.48060845833332	-18.208447694444445	"PN"
"PK 236+03  1"	"PN K  1-12"	117.54834166666666	-19.304575	"PN"
"PK 235+04  1"	"PN Y-C   40"	117.51183514718998	-17.86761731777	"PN?"
"PK 241+00  1"	"ESO 493-13"	117.02791666666667	-25.231944444444444	"EmG"
"PK 243-01  1"	"NGC  2452"	116.85943729381002	-27.335227772830002	"PN"
"PK 243-00  1"	"WRAY 17-8"	117.41625	-27.593055555555555	"PN"
"PK 245-03  1"	"ESO 429-17"	116.23091358703464	-30.30225696992085	"G"
"PK 246-04  1"	"WRAY 16-6"	115.49499999999999	-31.774166666666666	"PN?"
"PK 247-04  1"	"NAME FEGU 248-5"	115.59833333333336	-32.795833333333334	"PN"
"PK 248-04  1"	"WRAY 16-7"	116.69541666666667	-33.43111111111111	"PN?"
"PK 249-05  1"	"PN A66   23"	115.82493333333333	-34.75434444444445	"PN"
"PK 251-04  1"	"ESO 369-1"	118.07583333333335	-36.44333333333333	"?"
"PK 211+18  1"	"PN HDW    7"	118.79711244040003	9.55255041616	"PN"
"PK 241+02  1"	"PN M  3-4"	118.79749211817999	-23.636835077649998	"PN"
"PK 245+01  1"	"PN M  3-5"	120.62065112499998	-27.698610000000002	"PN"
"PK 252-04  1"	"PN Sa  2-18"	118.2406205697	-36.73184028618	"PN?"
"PK 254-06  1"	"ESO 311-18"	118.49175416666667	-39.82587222222222	"EmG"
"PK 211+22  1"	"EGB  5"	122.80319079470999	10.954749829	"HS*"
"PK 212+23  1"	"EGB  5"	122.80319079470999	10.954749829	"HS*"
"PK 224+15  1"	"PN K  1-13"	121.6937546267	-2.876439274	"PN"
"PK 224+15"	"PN K  1-13"	121.6937546267	-2.876439274	"PN"
"PK 238+07  2"	"PN Sa  2-21"	122.18458333333332	-19.233888888888888	"PN"
"PK 238+07  1"	"MCG-03-21-005"	122.30869780814	-18.695060483219997	"GiG"
"PK 240+07  1"	"PN Y-C  2-5"	122.67350524977999	-20.52564150029	"PN"
"PK 246+02  1"	"WRAY 16-13"	122.14708333333333	-27.6875	"PN?"
"PK 251-01  1"	"PN K  1-21"	121.0591375	-34.2687	"PN"
"PK 250+00  1"	"PN A66   26"	122.25685	-32.673586111111106	"PN"
"PK 252-00  1"	"V* CP Pup"	122.9419308778	-35.35138513353	"No*"
"PK 245+05  1"	"WRAY 17-16"	123.94041666666665	-25.97611111111111	"PN?"
"PK 251+01  1"	"WRAY 17-17"	123.96875000000001	-33.26416666666667	"PN?"
"PK 254+00  1"	"NGC  2579"	125.23041666666666	-36.223055555555554	"OpC"
