016.0-04.3 |   13.   71..9065
016.1-04.7 |<  10.   67.30013                    |   1.4  89..1570
016.4-01.9 |   11.   71..9065                    |  12.   89..1570
016.9-02.0 |    0.   CS 90
017.3-21.9 |  100.   71..9065
017.6-10.2 |   67.   71..9065
017.7-02.9 |    6.6  71..9065                    |   8.   89..1570
017.9-04.8 |   17.2  71..9065                    |  22.   89..1570
018.0+20.1 |    5.   85.30011                    |   8.   89..1570
018.6-02.2 |    0.   CS 90                       |   5.5  90..1502
018.9+03.6 |    0.   CS 90                       |   1.3  90..1502
018.9+04.1 |   11.6  71..9065
019.2-02.2 |    0.   CS 90                       |   1.2  90..1502
019.4-05.3 |    0.   CS 90                       |   1.8  90..1502
019.4-13.6 |   32.   80..1011
019.4-19.6 |  140.   71..9065
019.7+03.2 |    3.9  67.30013                    |   1.3  89..1570
019.7-04.5 |<  10.   CS 90                       |   2.5  90..1502
019.8+05.6 |    3.   89.50014
019.8-23.7 |  267.   71..9065
019.9+00.9 |    4.6  71..9065
020.2-00.6 |  285.   71..9065
020.7-05.9 |    8.   91.30002                    |   5.6  90..1502
020.9-01.1 |    9.5  71..9065                    |  15.   89..1570
021.1-05.9 |    4.2  71..9065
021.2-03.9 |   17.   77..1547
021.7-00.6 |    7.2  71..9065
021.8-00.4 |    9.   71..9065                    |   5.   89..1570
022.0-03.1 |    6.4  71..9065
022.1-02.4 |    8.4  71..9065                    |   8.   89..1570
022.5+01.0 |   17.   78..1561
022.5+04.8 |   10.   91.30002
023.0+04.3 |<   5.   91.30002
023.3-07.6 |   10.   78..1561
023.8-01.7 |    0.   CS 90                       |   3.   90..1502
023.9+01.2 |    0.   91.30002
023.9-02.3 |    4.6  71..9065                    |   4.8  90..1502
024.1+03.8 |    5.   71..9065                    |   5.5  89..1570
024.2+05.9 |   44.   71..9065                    |  47.   89..1570
024.2-05.2 |   21.   67.30013
024.3-03.3 |    5.   71..9065
024.8-02.7 |    4.4  71..9065
025.0-11.6 |   74.   71..9065
025.3+40.8 |   13.   87...536, 71..9065
025.3-04.6 |    0.   CS 90
025.4-04.7 |   90.   87...536                    | 109.   89..1570
025.8-17.9 |   20.   87...536, 71..9065
025.9-00.9 |    4.6  71..9065
025.9-02.1 |    5.   71..9065                    |   4.8  90..1502
025.9-10.9 |   16. : CS 90
026.0-01.8 |    3.   71..9065                    |   2.5  90..1502
026.3-02.2 |    7.6  71..9065
026.5-03.0 |    4.4  71..9065                    |   4.3  89..1570
026.6-01.5 |   20. : CS 90
027.3-02.1 |    6.8  71..9065                    |   1.2  89..1570
027.3-03.4 |   35.   71..9065
027.4-03.5 |<  15.   CS 90                       |   4.   90..1502
027.6+04.2 |<  15.   CS 90                       |   1.5  90..1502
027.6+16.9 |   94.   80..1011
027.6-09.6 |    2.   71..9065                    |   2.9  90..1502
027.7+00.7 |    6.4  71..9065                    |   7.5  89..1570
028.0+10.2 |   36.   81..1143
028.2-04.0 |    6.4  71..9065
028.5+01.6 |    7.4  71..9065                    |   8.   89..1570
028.5+05.1 |<  10.   CS 90                       |   2.8  90..1502
028.7+02.7 |<   8.   CS 90                       |   6.3  90..1502
028.7-03.9 |    8.6  71..9065
029.0+00.4 |   40.   71..9065
029.2-00.0 |    5.6  91..3001                    |   6.   88...328
029.2-05.9 |   20.5  87...536, 71..9065
029.8-07.8 |   14.   88..1266
030.6+06.2 |  400.   83.28034, 83..3100
030.8+03.4 |   16.   71..9065
031.0+04.1 |    0.   CS 90                       |   0.74 90..1502
031.0-10.8 |    5.6  71..9065                    |   8.   89..1570
031.2+05.9 |    9.2  71..9065                    |  11.   89..1570
031.3-00.5 |   25.   85..1131
031.7+01.7 |<  10.   CS 90
031.9-00.3 |   30.   81..1143
032.0-03.0 |    4.   71..9065                    |   0.9  89..1570
032.1+07.0 |   14.   91.30002                    |   2.7  90..1502
032.5-03.2 |    0.   CS 90
032.7+05.6 |   11.8  71..9065
032.7-02.0 |<  10.   CS 90                       |   2.7  90..1502
032.9+07.8 |<   8.   CS 90                       |   5.   90..1502
032.9-02.8 |    0.   CS 90                       |   1.2  90..1502
033.0-05.3 |   62.   71..9065                    |  48.   89..1570
033.1-06.3 |   64.   71..9065                    |  90.   89..1570
033.2-01.9 |    0.   91.30002
033.8-02.6 |    8.   87...536, 71..9065          |   6.    ZPB 89
034.0+02.2 |    0.   CS 90                       |   3.7  90..1502
034.1-10.5 |   47.   87..1593
034.3+06.2 |    9.8  71..9065
034.5-06.7 |   15.8  71..9065
034.6+11.8 |   10.8  87...536, 71..9065          |   8.    ZPB 89
035.1-00.7 |   32.8  71..9065
035.7-05.0 |   10.   91.30002
035.9-01.1 |  100.   71..9065                    | 114.   89..1570
036.0+17.6 |   80.   71..9065
036.1-57.1 |  980.   87...536                    | 660.   89..1570
036.9-01.1 |   12.   85..1131
036.9-02.6 |   21.   85..1131
037.5-05.1 |   40.   71..9065
037.7-34.5 |   28.5  87...536, 71..9065
037.8-06.3 |    7.   87...536, 67.30013          |   1.8  90..1502
037.9-03.4 |  181.   71..9065
038.1-25.4 |   42.   71..9065
038.2+12.0 |    4.5  81..1008                    |   3.7  84..2631
038.4-03.3 |    0.   CS 90
038.7+01.9 |  304.   71..9065
038.7-03.3 |    0.   CS 90
039.5-02.7 |    6.4  71..9065                    |   6.   89..1570
039.8+02.1 |   14.8  71..9065                    |   8.   89..1570
040.3-00.4 |   31.   71..9065
040.4-03.1 |    0.   CS 90                       |   3.3  90..1502
041.2-00.6 |   18.   85..1131
041.8+04.4 |    0.   CS 90                       |<  0.3  90..1502
041.8-02.9 |  108.   67.30013, 71..9065, 87...536| 130.   89..1570
042.0+05.4 |    0.   CS 90                       |   1.   90..1502
