|NAME         |OTHER NAMES                        |CON|RA J2K |DecJ2K|V   |B-V |SPEC. |NOTES                                                       |
|Iota Cnc     |SAO 80415; 48 Cnc; STF 1268        |CNC|08 46.7|+28 46| 6.6|0.51|G8    |4/6.6mag 31 sec PA 307; Orange and Blue pair                |
|X Cnc        |SAO 98230; HD 76221; CCCS 1338     |CNC|08 55.4|+17 14| 6.1|3.36|N3    |Period 170 days; 6.2-7.5m                                   |
|T Cnc        |BD +20 2243; CCCS 1344             |CNC|08 56.7|+19 51| 7.6|4.5 |N;C5  |Period 482 days; 7.8-10.6m                                  |
|GM Cnc       |BD +14 2048; HD 79319              |CNC|09 13.8|+14 13| 8.9|1.69|R4    |                                                            |
|12 Com       |SAO 82273; SHJ 143                 |COM|12 22.5|+25 17| 4.8|0.94|G0    |4.8/8.6mag 65 sec PA 167; Straw yellow and rose red-Smyth   |
|24 Com       |SAO 100160; STF 1657               |COM|12 35.1|+18 23| 5  |1.21|K2    |5/6.6mag 20sec PA 270; Orange and Blue pair                 |
|V CrB        |BD +40 2929; HD 141826             |CRB|15 49.5|+39 34| 7.9|4.43|C6    |Period 357 days; 6.9-12.6m                                  |
|T CrB        |SAO 84129                          |CRB|15 59.5|+25 55|10.1|2   |M3    |Recurrent Nova; Blaze Star; 2.3-10m; outbursts 1866 & 1946  |
|Gamma Cru    |SAO 240019                         |CRU|12 31.2|-57 07| 3.6|2.37|M4    |Top star of Southern Cross; light orange to naked eye       |
|DY Cru       |EsB 365; Ruby Crucis               |CRU|12 47.4|-59 42| 8.6|5.56|N     |Variable 8.6-9.8; near Beta Cru (Mimosa)                    |
|CD -59 04459 |SAO 252073; EsB 370                |CRU|12 53.7|-60 21| 7.2|1.71|M2    |1 min north of center of NGC 4755 the Jewel Box CL          |
|2 CVn        |SAO 44097; STF 1622                |CVN|12 16.1|+40 40| 5.7|1.68|M1    |5.6/8.6mag 11 sec PA 260; Red and Blue pair                 |
|Y CVn        |SAO 44317; HD 110914; CCCS 2030    |CVN|12 45.1|+45 26| 4.8|2.54|N3    |Period 157 days; 5.5-6.0m; famous; La Superba               |
|TU CVn       |SAO 44383                          |CVN|12 54.9|+47 12| 5.8|1.55|M5    |Period 5.6-6.6 days                                         |
|TT CVn       |HD 112869; CCCS 2052               |CVN|12 59.4|+37 49| 9.2|1.98|R6p   |                                                            |
|R Cyg        |HD 185456                          |CYG|19 36.8|+50 12| 8  |2   |S3    |                                                            |
|TT Cyg       |SAO 68688; HD 186047               |CYG|19 41.0|+32 37| 7  |2.92|N     |Period 118 days; 7.8-9.1m                                   |
|AX Cyg       |HD 189256; CCCS 2833               |CYG|19 57.2|+44 16| 7.4|3.43|N6    |Period Irr; 7.4-8.5m; near NGC 6866                         |
|BD +35 3985  |SAO 69496                          |CYG|20 08.8|+36 09| 7.3|1.63|      |Birmingham called this the Red Star region of Cygnus        |
|SV Cyg       |BD +47 3031 ; CCCS 2872            |CYG|20 09.5|+47 52| 8.5|2.99|N3;C7 |                                                            |
